fiscal_year,NHS,district,activity,Route Type,Route,Beg MM,End MM,cost,date,segment_id
2021,True,4,HOT INSITU RECYCLING,US,US 56,14.03,20.0,616417.03,2021-07-01,US 56_14.03_20.0
2021,True,4,CRACK SEAL,US,US 54,231.0,243.0,391181.76,2021-07-01,US 54_231.0_243.0
2021,True,4,CRACK SEAL,US,US 84,73.0,79.9,111440.06,2021-07-01,US 84_73.0_79.9
2021,True,4,BRIDGE OTHER,Interstate,I 40,252.0,252.0,29723.68,2021-07-01,I 40_252.0_252.0
2021,True,4,BRIDGE OTHER,US,US 54,324.9,326.3,54041.19,2021-07-01,US 54_324.9_326.3
2021,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,319.0,330.6,507377.06,2021-07-01,I 25_319.0_330.6
2021,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,338.0,348.5,406836.22,2021-07-01,I 25_338.0_348.5
2021,False,4,BRIDGE OTHER,State,NM 456,42.33,42.33,1114365.84,2021-07-01,NM 456_42.33_42.33
2021,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,319.0,330.6,2534901.74,2021-07-01,I 25_319.0_330.6
2021,True,4,HOT INSITU SCARIFICATION,US,US 64,418.0,429.35,1688422.03,2021-07-01,US 64_418.0_429.35
2021,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,338.0,348.5,82976.61,2021-07-01,I 25_338.0_348.5
2021,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,338.0,348.5,22150.54,2021-07-01,I 25_338.0_348.5
2021,True,4,HOT INSITU RECYCLING,US,US 56,0.3,14.03,1198696.35,2021-07-01,US 56_0.3_14.03
2021,True,4,CRACK SEAL,US,US 54,225.0,231.0,222699.18,2021-07-01,US 54_225.0_231.0
2021,False,5,HOT MIX OVERLAY/ INLAY,State,NM 537,55.35,47.65,62544.89,2021-07-02,NM 537_55.35_47.65
2021,False,5,MICRO SURFACING,State,NM 466,3.3,4.0,617230.06,2021-07-02,NM 466_3.3_4.0
2021,True,5,MICRO SURFACING,State,NM 599,0.0,13.5,745616.75,2021-07-02,NM 599_0.0_13.5
2021,False,5,HOT MIX OVERLAY/ INLAY,State,NM 537,55.35,47.65,2416828.45,2021-07-02,NM 537_55.35_47.65
2021,False,5,HOT INSITU SCARIFICATION,State,NM 537,5.0,13.0,708704.98,2021-07-02,NM 537_5.0_13.0
2021,True,2,GUARDRAIL,US,US 285,108.0,108.0,22824.9,2021-07-02,US 285_108.0_108.0
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 54,54.5,55.0,92491.88,2021-07-02,US 54_54.5_55.0
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 60,352.0,359.75,49011.51,2021-07-02,US 60_352.0_359.75
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 54,140.5,138.6,726369.68,2021-07-02,US 54_140.5_138.6
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 70,264.0,275.0,2448764.67,2021-07-02,US 70_264.0_275.0
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 60,352.0,359.75,1892651.75,2021-07-02,US 60_352.0_359.75
2021,True,2,HOT MIX OVERLAY/ INLAY,US,US 70,55.0,45.0,1677587.62,2021-07-02,US 70_55.0_45.0
2021,True,6,ROADWAY REHABILITATION,US,US 491,61.7,68.1,384820.33,2021-07-06,US 491_61.7_68.1
2021,True,6,BRIDGE COMPONENT/PAVEMENT RAISING,US,US 550,45.8,45.8,221950.75,2021-07-06,US 550_45.8_45.8
2021,False,6,BRIDGE COMPONENT/PAVEMENT RAISING,State,NM 602,23.7,23.7,351147.29,2021-07-06,NM 602_23.7_23.7
2021,True,1,BRIDGE OTHER,Interstate,I 25,21.5,25.0,803732.44,2021-07-06,I 25_21.5_25.0
2021,False,3,GUARDRAIL,State,NM 165,4.0,4.0,27449.54,2021-07-07,NM 165_4.0_4.0
2021,False,3,GUARDRAIL,State,NM 165,4.17,4.17,28067.05,2021-07-07,NM 165_4.17_4.17
2021,False,3,MICRO SURFACING,State,NM 47,35.25,36.75,156166.61,2021-07-07,NM 47_35.25_36.75
2021,False,3,HOT MIX OVERLAY/ INLAY,State,NM 337,8.3,17.8,137366.61,2021-07-07,NM 337_8.3_17.8
2021,False,3,HOT INSITU RECYCLING,FR,FR 2083,0.25,6.0,567675.62,2021-07-07,FR 2083_0.25_6.0
