segment_id,county
BL11M_0.000_5.747,Sierra
BL11P_0.000_5.745,Sierra
BL12M_0.000_2.857,Socorro
BL12P_0.000_2.857,Socorro
BL13M_0.000_6.616,Valencia
BL13P_0.000_6.622,Valencia
BL15M_0.000_4.220,San Miguel
BL15P_0.000_4.220,San Miguel
BL16M_0.000_3.441,Colfax
BL16P_0.000_3.440,Colfax
BL17M_0.000_4.137,Colfax
BL17P_0.000_4.119,Colfax
BL21M_0.000_4.353,Hidalgo
BL21P_0.000_4.354,Hidalgo
BL22M_0.000_4.408,Luna
BL22P_0.000_4.436,Luna
BL34M_0.000_2.910,Torrance
BL34P_0.000_2.911,Torrance
BL35M_0.000_4.345,Guadalupe
BL35P_0.000_4.345,Guadalupe
BL36M_0.000_6.805,Quay
BL36P_0.000_6.805,Quay
FL1000M_0.000_5.665,Bernalillo
FL1000P_0.000_5.663,Bernalillo
FL1001P_0.000_0.689,Bernalillo
FL1002P_0.000_2.305,Sandoval
FL1004P_0.000_0.840,Bernalillo
FL1005P_0.000_0.172,Bernalillo
FL1006P_0.000_0.348,Sandoval
FL1007M_0.000_0.864,Bernalillo
FL1007P_0.000_0.864,Bernalillo
FL1008P_0.000_0.404,Bernalillo
FL1009P_0.000_0.534,Bernalillo
FL1010P_0.000_0.840,Sandoval
FL1011P_0.000_0.595,Bernalillo
FL1012P_0.000_0.223,Bernalillo
FL1013P_0.000_1.422,Sandoval
FL1014P_0.000_0.465,Bernalillo
FL1015P_0.000_0.174,Bernalillo
FL1016P_0.000_0.229,Bernalillo
FL1018P_0.000_0.816,Sandoval
FL1019P_0.000_0.592,Bernalillo
FL1020P_0.000_0.185,Sandoval
FL1021P_0.000_0.710,Sandoval
FL1022M_0.000_0.448,Bernalillo
FL1022P_0.000_0.448,Bernalillo
FL1023P_0.000_0.849,Bernalillo
FL1024M_0.000_1.114,Sandoval
FL1024P_0.000_1.329,Sandoval
FL1025P_0.000_0.205,Bernalillo
FL1026P_0.000_1.478,Sandoval
FL1027M_0.000_1.557,Bernalillo
FL1027P_0.000_1.557,Bernalillo
FL1028P_0.000_0.504,Sandoval
FL1029P_0.000_0.569,Bernalillo
FL1030P_0.000_0.329,Sandoval
FL1031P_0.000_0.908,Bernalillo
FL1032P_0.000_0.432,Sandoval
FL1033P_0.000_0.361,Sandoval
FL1034P_0.000_0.678,Sandoval
FL1036P_0.000_0.512,Bernalillo
FL1037M_0.000_0.169,Bernalillo
FL1037P_0.000_0.940,Bernalillo
FL1038P_0.000_1.155,Bernalillo
FL1039P_0.000_0.947,Bernalillo
FL1040P_0.000_0.469,Bernalillo
FL1041P_0.000_0.879,Bernalillo
FL1042P_0.000_0.332,Bernalillo
FL1043P_0.000_0.364,Bernalillo
FL1044M_0.000_0.456,Bernalillo
FL1044P_0.000_0.456,Bernalillo
FL1045P_0.000_0.323,Bernalillo
FL1046M_0.000_1.780,Bernalillo
FL1046P_0.000_1.787,Bernalillo
FL1047P_0.000_0.374,Bernalillo
FL1048P_0.000_0.441,Sandoval
FL1050P_0.000_0.341,Bernalillo
FL1051P_0.000_0.792,Bernalillo
FL1052P_0.000_1.033,Bernalillo
FL1053M_0.000_0.497,Bernalillo
FL1053P_0.000_1.009,Bernalillo
FL1054P_0.000_0.504,Bernalillo
FL1055P_0.000_0.265,Bernalillo
FL1056P_0.000_0.310,Bernalillo
FL1057P_0.000_0.233,Bernalillo
FL1058P_0.000_0.709,Bernalillo
FL1059P_0.000_0.910,Bernalillo
FL1060P_0.000_0.450,Bernalillo
