order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
1997-030,1997-10-08,1997,S,Johnson,"Disaster in the County of Socorro, as a result in flash flooding conditions along the Rio Grande.",Flash Flooding,Socorro
1997-010,1997-05-14,1997,S,Johnson,Disaster for flooding in Rio Arriba County as a result from melting snow has resulted in flooding.,Flooding,Rio Arriba
1997-023,1997-08-18,1997,S,Johnson,"Disaster in Mora County in resulting in heavy damage to road, bridges and publicly owned facilities.",Flooding,Mora
1997-032,1997-11-05,1997,S,Johnson,"Disaster in the Pecos River in Guadalupe County, as a resulted in flash flood conditions.",Flooding,Guadalupe
1997-033,1997-11-05,1997,S,Johnson,"Disaster in Grant County, as a result in flooding of heavy rainfall.",Flooding,Grant
1997-034,1997-11-10,1997,S,Johnson,"Disaster in San Miguel County, as a result in flooding of heavy rainfall.",Flooding,San Miguel
1997-009,1997-05-05,1997,S,Johnson,Disaster for Mora County as a result of heavy flooding.,Flooding,Mora
1997-026,1997-09-10,1997,S,Johnson,Disaster in Santa Fe County Road 91A in result in heavy flood damage.,Flooding,Santa Fe
1997-012,1997-06-02,1997,S,Johnson,Disaster in thirteen counties as result to heavy snowfall.,Heavy Snowfall,Statewide
1997-039,1997-12-29,1997,S,Johnson,"Disaster in Chaves County and other surrounding areas, resulting in extremely heavy snowfall.",Heavy Snowfall,Chavez
1997-005,1997-02-25,1997,S,Johnson,Disaster in Counties of San Miguel and Guadalupe for snowstorms.,Winter Storm,San Miguel
1997-005,1997-02-25,1997,S,Johnson,Disaster in Counties of San Miguel and Guadalupe for snowstorms.,Winter Storm,Guadalupe
1997-003,1997-01-17,1997,S,Johnson,Emergency for Mora and Santa Fe County as a result of winter storms.,Winter Storm,Mora
1997-003,1997-01-17,1997,S,Johnson,Emergency for Mora and Santa Fe County as a result of winter storms.,Winter Storm,Santa Fe
1997-007,1997-04-28,1997,S,Johnson,Disaster in Mora County as a result of winter storms.,Winter Storm,Mora
1998-029,1998-07-28,1998,S,Johnson,Disaster in the County of Socorro resulting in flash flood conditions.,Flash Flooding,Socorro
1998-030,1998-07-28,1998,S,Johnson,Disaster in the County of Rio Arriba resulting in flash flood conditions.,Flash Flooding,Rio Arriba
1998-031,1998-07-28,1998,S,Johnson,Disaster in the County of Taos resulting in flash flood conditions.,Flash Flooding,Taos
1998-032,1998-08-17,1998,S,Johnson,Disaster in the County of Mora resulting in flash flood conditions.,Flash Flooding,Mora
1998-034,1998-08-25,1998,S,Johnson,Disaster in the County of Hidalgo resulting in flash flood conditions.,Flash Flooding,Hidalgo
1998-040,1998-09-30,1998,S,Johnson,Disaster in the Reserve area of Catron County in resulted in flash flooding.,Flash Flooding,Catron
1998-004,1998-01-08,1998,S,Johnson,Disaster in City of Belen as a result of flooding.,Flooding,Valencia
1998-038,1998-09-23,1998,S,Johnson,Disaster in the County of Mora in resulting in flooding.,Flooding,Mora
1998-039,1998-09-23,1998,S,Johnson,"Disaster in the County Rio Arriba, resulting in flooding.",Flooding,Rio Arriba
1998-042,1998-10-19,1998,S,Johnson,Disaster in the many areas of Rio Arriba County in resulting in flooding.,Flooding,Rio Arriba
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Chaves
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,DeBaca
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Eddy
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Guadalupe
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Lincoln
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Mora
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Quay
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Roosevelt
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Torrance
1998-002,1998-01-05,1998,S,Johnson,"Emergency for portions of New Mexico as a result of heavy snowfall and icy roads, and significant snow drifting.",Heavy Snowfall,Union
1998-003,1998-01-07,1998,S,Johnson,"Disaster in Guadalupe, Socorro, Quay, Santa Fe, San Miguel, Mora and Torrance as a result in extremely heavy snowfall.",Heavy Snowfall,Guadalupe
1998-003,1998-01-07,1998,S,Johnson,"Disaster in Guadalupe, Socorro, Quay, Santa Fe, San Miguel, Mora and Torrance as a result in extremely heavy snowfall.",Heavy Snowfall,Socorro
1998-003,1998-01-07,1998,S,Johnson,"Disaster in Guadalupe, Socorro, Quay, Santa Fe, San Miguel, Mora and Torrance as a result in extremely heavy snowfall.",Heavy Snowfall,Quay
1998-003,1998-01-07,1998,S,Johnson,"Disaster in Guadalupe, Socorro, Quay, Santa Fe, San Miguel, Mora and Torrance as a result in extremely heavy snowfall.",Heavy Snowfall,Santa Fe
